Repo,NodeName,dataType (bits),depth,folded_shape (dimensions flattened),normal_shape (dimensions flattened),Total LUTs,Logic LUTs,LUTRAMs,SRLs,FFs,RAMB36,RAMB18,DSP Blocks
t2w2_50000fps_u,StreamingDataflowPartition_1_StreamingFIFO_rtl_20,7,2,6,6,11,11,0,0,18,0,0,0
t2w2_50000fps_u,StreamingDataflowPartition_1_StreamingFIFO_rtl_21,8,2,1,1,7,7,0,0,10,0,0,0
t2w2_5000fps_u,StreamingDataflowPartition_1_StreamingFIFO_rtl_0,8,869,4096,4096,299,75,0,224,29,0,0,0
t2w2_5000fps_u,StreamingDataflowPartition_1_StreamingFIFO_rtl_1,8,4624,4624,4624,30,30,0,0,69,2,0,0
t2w2_5000fps_u,StreamingDataflowPartition_1_StreamingFIFO_rtl_2,8,2,9216,9216,11,11,0,0,19,0,0,0
t2w2_5000fps_u,StreamingDataflowPartition_1_StreamingFIFO_rtl_3,8,870,9216,9216,43,43,0,0,57,2,0,0
t2w2_5000fps_u,StreamingDataflowPartition_1_StreamingFIFO_rtl_4,2,148,4096,4096,48,38,0,10,15,0,0,0
t2w2_5000fps_u,StreamingDataflowPartition_1_StreamingFIFO_rtl_5,2,769,5184,5184,43,43,0,0,57,0,1,0
t2w2_5000fps_u,StreamingDataflowPartition_1_StreamingFIFO_rtl_6,2,2,9216,9216,6,6,0,0,7,0,0,0
t2w2_5000fps_u,StreamingDataflowPartition_1_StreamingFIFO_rtl_7,2,682,9216,9216,43,43,0,0,57,0,1,0
t2w2_5000fps_u,StreamingDataflowPartition_1_StreamingFIFO_rtl_8,2,2,512,512,5,5,0,0,8,0,0,0
t2w2_5000fps_u,StreamingDataflowPartition_1_StreamingFIFO_rtl_9,2,129,800,800,43,35,0,8,15,0,0,0
t2w2_5000fps_u,StreamingDataflowPartition_1_StreamingFIFO_rtl_10,2,2,1152,1152,6,6,0,0,7,0,0,0
t2w2_5000fps_u,StreamingDataflowPartition_1_StreamingFIFO_rtl_11,2,178,1152,1152,67,43,0,24,17,0,0,0
t2w2_5000fps_u,StreamingDataflowPartition_1_StreamingFIFO_rtl_12,2,2,256,256,5,5,0,0,8,0,0,0
t2w2_5000fps_u,StreamingDataflowPartition_1_StreamingFIFO_rtl_13,2,110,576,576,40,32,0,8,14,0,0,0
t2w2_5000fps_u,StreamingDataflowPartition_1_StreamingFIFO_rtl_14,2,286,576,576,47,47,0,0,53,0,1,0
t2w2_5000fps_u,StreamingDataflowPartition_1_StreamingFIFO_rtl_15,2,2,32,32,5,5,0,0,8,0,0,0
t2w2_5000fps_u,StreamingDataflowPartition_1_StreamingFIFO_rtl_16,7,2,6,6,11,11,0,0,18,0,0,0
t2w2_5000fps_u,StreamingDataflowPartition_1_StreamingFIFO_rtl_17,8,2,1,1,7,7,0,0,10,0,0,0
t2w2_500fps_u,StreamingDataflowPartition_1_StreamingFIFO_rtl_0,8,869,4096,4096,299,75,0,224,29,0,0,0
t2w2_500fps_u,StreamingDataflowPartition_1_StreamingFIFO_rtl_1,8,4624,4624,4624,30,30,0,0,69,2,0,0
t2w2_500fps_u,StreamingDataflowPartition_1_StreamingFIFO_rtl_2,8,9216,9216,9216,30,30,0,0,73,4,0,0
t2w2_500fps_u,StreamingDataflowPartition_1_StreamingFIFO_rtl_3,2,32,4096,4096,26,24,0,2,12,0,0,0
t2w2_500fps_u,StreamingDataflowPartition_1_StreamingFIFO_rtl_4,2,577,5184,5184,43,43,0,0,57,0,1,0
t2w2_500fps_u,StreamingDataflowPartition_1_StreamingFIFO_rtl_5,2,1582,9216,9216,27,27,0,0,61,0,1,0
t2w2_500fps_u,StreamingDataflowPartition_1_StreamingFIFO_rtl_6,2,2,512,512,5,5,0,0,8,0,0,0
t2w2_500fps_u,StreamingDataflowPartition_1_StreamingFIFO_rtl_7,2,129,800,800,43,35,0,8,15,0,0,0
t2w2_500fps_u,StreamingDataflowPartition_1_StreamingFIFO_rtl_8,2,2,1152,1152,6,6,0,0,7,0,0,0
t2w2_500fps_u,StreamingDataflowPartition_1_StreamingFIFO_rtl_9,2,178,1152,1152,66,42,0,24,17,0,0,0
t2w2_500fps_u,StreamingDataflowPartition_1_StreamingFIFO_rtl_10,2,2,256,256,5,5,0,0,8,0,0,0
t2w2_500fps_u,StreamingDataflowPartition_1_StreamingFIFO_rtl_11,2,110,576,576,40,32,0,8,14,0,0,0
t2w2_500fps_u,StreamingDataflowPartition_1_StreamingFIFO_rtl_12,2,286,576,576,47,47,0,0,53,0,1,0
