Repo,NodeName,OpType,Partition,dataType,depth,folded_shape,impl_style,normal_shape,ram_style,Total LUTs,Logic LUTs,LUTRAMs,SRLs,FFs,RAMB36,RAMB18,DSP Blocks
t2w2_50000fps_u,StreamingDataflowPartition_1_StreamingFIFO_rtl_3,StreamingFIFO_rtl,partition_2,b'UINT8',2,"[1, 16, 16, 9, 4]",b'rtl',"[1, 16, 16, 36]",b'auto',36,36,0,0,68,0,0,0
t2w2_50000fps_u,StreamingDataflowPartition_1_StreamingFIFO_rtl_4,StreamingFIFO_rtl,partition_2,b'UINT8',2,"[1, 16, 16, 1, 36]",b'rtl',"[1, 16, 16, 36]",b'auto',299,299,0,0,586,0,0,0
t2w2_50000fps_u,StreamingDataflowPartition_1_StreamingFIFO_rtl_5,StreamingFIFO_rtl,partition_2,b'UINT2',2,"[1, 16, 16, 8, 2]",b'rtl',"[1, 16, 16, 16]",b'auto',8,8,0,0,12,0,0,0
t2w2_50000fps_u,StreamingDataflowPartition_1_StreamingFIFO_rtl_6,StreamingFIFO_rtl,partition_2,b'UINT2',32,"[1, 16, 16, 4, 4]",b'rtl',"[1, 16, 16, 16]",b'auto',39,31,0,8,18,0,0,0
t2w2_50000fps_u,StreamingDataflowPartition_1_StreamingFIFO_rtl_7,StreamingFIFO_rtl,partition_2,b'UINT2',2,"[1, 18, 18, 4, 4]",b'rtl',"[1, 18, 18, 16]",b'auto',12,12,0,0,20,0,0,0
t2w2_50000fps_u,StreamingDataflowPartition_1_StreamingFIFO_rtl_8,StreamingFIFO_rtl,partition_2,b'UINT2',58,"[1, 18, 18, 2, 8]",b'rtl',"[1, 18, 18, 16]",b'auto',74,42,0,32,27,0,0,0
t2w2_50000fps_u,StreamingDataflowPartition_1_StreamingFIFO_rtl_9,StreamingFIFO_rtl,partition_2,b'UINT2',2,"[1, 8, 8, 18, 8]",b'rtl',"[1, 8, 8, 144]",b'auto',20,20,0,0,36,0,0,0
t2w2_50000fps_u,StreamingDataflowPartition_1_StreamingFIFO_rtl_10,StreamingFIFO_rtl,partition_2,b'UINT2',32,"[1, 8, 8, 4, 36]",b'rtl',"[1, 8, 8, 144]",b'auto',166,94,0,72,82,0,0,0
t2w2_50000fps_u,StreamingDataflowPartition_1_StreamingFIFO_rtl_11,StreamingFIFO_rtl,partition_2,b'UINT2',32,"[1, 8, 8, 8, 1]",b'rtl',"[1, 8, 8, 8]",b'auto',26,24,0,2,12,0,0,0
t2w2_50000fps_u,StreamingDataflowPartition_1_StreamingFIFO_rtl_12,StreamingFIFO_rtl,partition_2,b'UINT2',146,"[1, 10, 10, 8, 1]",b'rtl',"[1, 10, 10, 8]",b'auto',47,37,0,10,15,0,0,0
t2w2_50000fps_u,StreamingDataflowPartition_1_StreamingFIFO_rtl_13,StreamingFIFO_rtl,partition_2,b'UINT2',569,"[1, 4, 4, 72, 1]",b'vivado',"[1, 4, 4, 72]",b'auto',43,43,0,0,57,0,1,0
t2w2_50000fps_u,StreamingDataflowPartition_1_StreamingFIFO_rtl_14,StreamingFIFO_rtl,partition_2,b'UINT2',576,"[1, 4, 4, 36, 2]",b'vivado',"[1, 4, 4, 72]",b'auto',43,43,0,0,57,0,1,0
t2w2_50000fps_u,StreamingDataflowPartition_1_StreamingFIFO_rtl_15,StreamingFIFO_rtl,partition_2,b'UINT2',32,"[1, 4, 4, 16, 1]",b'rtl',"[1, 4, 4, 16]",b'auto',26,24,0,2,12,0,0,0
t2w2_50000fps_u,StreamingDataflowPartition_1_StreamingFIFO_rtl_16,StreamingFIFO_rtl,partition_2,b'UINT2',121,"[1, 6, 6, 16, 1]",b'rtl',"[1, 6, 6, 16]",b'auto',38,30,0,8,14,0,0,0
t2w2_50000fps_u,StreamingDataflowPartition_1_StreamingFIFO_rtl_17,StreamingFIFO_rtl,partition_2,b'UINT2',2,"[1, 2, 2, 144, 1]",b'rtl',"[1, 2, 2, 144]",b'auto',7,7,0,0,8,0,0,0
t2w2_50000fps_u,StreamingDataflowPartition_1_StreamingFIFO_rtl_18,StreamingFIFO_rtl,partition_2,b'UINT2',142,"[1, 2, 2, 72, 2]",b'rtl',"[1, 2, 2, 144]",b'auto',64,44,0,20,17,0,0,0
t2w2_50000fps_u,StreamingDataflowPartition_1_StreamingFIFO_rtl_19,StreamingFIFO_rtl,partition_2,b'UINT2',2,"[1, 2, 2, 8, 1]",b'rtl',"[1, 2, 2, 8]",b'auto',5,5,0,0,8,0,0,0
t2w2_50000fps_u,StreamingDataflowPartition_1_StreamingFIFO_rtl_20,StreamingFIFO_rtl,partition_2,b'INT7',2,"[1, 6, 1]",b'rtl',"[1, 6]",b'auto',11,11,0,0,18,0,0,0
t2w2_50000fps_u,StreamingDataflowPartition_1_StreamingFIFO_rtl_21,StreamingFIFO_rtl,partition_2,b'UINT8',2,"[1, 1, 1]",b'rtl',"[1, 1]",b'auto',7,7,0,0,10,0,0,0
