Hardware config,Submodule Instance,isRTL,ConvKernelDim (dimensions flattened),Dilation (dimensions flattened),Input Feature Map Channels,Input Feature Map Dim (dimensions flattened),ImgDim (dimensions flattened),K,Labels,MH,MW,NumChannels,Output Feature Map Dim (dimensions flattened),PE,Padding (dimensions flattened),SIMD,Stride (dimensions flattened),accDataType (bits),cycles_estimate,inputDataType (bits),noActivation,numInputVectors (dimensions flattened),isOp_typeConvolutioninputgeneratorrtl,isOp_typeFmpaddingrtl,isOp_typeLabelselecthls,isOp_typeMvauhls,isOp_typeMvaurtl,outputDataType (bits),parallel_window,isRam_styleAuto,isRam_styleDistributed,isRestypeAuto,isRestypeLut,weightDataType (bits),Total LUT,BRAM (36k eq.),DSP Blocks
builds_t2w2_run15_40_modify_folding_BOTH,StreamingDataWidthConverter_rtl_3,1,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,,,0,0,0,0,,6,0.0,0
builds_t2w2_run15_40_modify_folding_BOTH,StreamingDataWidthConverter_rtl_4,1,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,,,0,0,0,0,,9,0.0,0
builds_t2w2_run15_40_modify_folding_BOTH,StreamingDataWidthConverter_rtl_5,1,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,,,0,0,0,0,,6,0.0,0
builds_t2w2_run15_40_modify_folding_BOTH,StreamingFIFO_rtl_0,1,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,,,0,0,0,0,,319,0.0,0
builds_t2w2_run15_40_modify_folding_BOTH,StreamingFIFO_rtl_1,1,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,,,0,0,0,0,,15,0.0,0
builds_t2w2_run15_40_modify_folding_BOTH,StreamingFIFO_rtl_10,1,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,,,0,0,0,0,,132,0.0,0
builds_t2w2_run15_40_modify_folding_BOTH,StreamingFIFO_rtl_11,1,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,,,0,0,0,0,,55,0.0,0
builds_t2w2_run15_40_modify_folding_BOTH,StreamingFIFO_rtl_12,1,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,,,0,0,0,0,,15,0.0,0
builds_t2w2_run15_40_modify_folding_BOTH,StreamingFIFO_rtl_13,1,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,,,0,0,0,0,,15,0.0,0
builds_t2w2_run15_40_modify_folding_BOTH,StreamingFIFO_rtl_14,1,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,,,0,0,0,0,,62,0.0,0
builds_t2w2_run15_40_modify_folding_BOTH,StreamingFIFO_rtl_15,1,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,,,0,0,0,0,,55,0.0,0
builds_t2w2_run15_40_modify_folding_BOTH,StreamingFIFO_rtl_16,1,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,,,0,0,0,0,,15,0.0,0
