isRTL,ActVal,ConvKernelDim (dimensions flattened),Dilation (dimensions flattened),Input Feature Map Channels,Input Feature Map Dim (dimensions flattened),ImgDim (dimensions flattened),K,Labels,MH,MW,NumChannels,Output Feature Map Dim (dimensions flattened),Padding (dimensions flattened),Stride (dimensions flattened),accDataType (bits),binaryXnorMode,inWidth,inputDataType (bits),noActivation,numInputVectors (dimensions flattened),isOp_typeConvolutioninputgeneratorrtl,isOp_typeFmpaddingrtl,isOp_typeLabelselecthls,isOp_typeMvauhls,isOp_typeMvaurtl,isOp_typeThresholdingrtl,outputDataType (bits),parallel_window,weightDataType (bits),PE,SIMD,isRam_styleAuto,isRam_styleBlock,isRam_styleDistributed,isResTypeDsp,isResTypeLut,depth,isImpl_styleRtl,Total LUT,Total FFs,BRAM (36k eq.),DSP Blocks
1,0.0,,,,,,,,,,784.0,,,,,,,8.0,,1.0,0,0,0,0,0,1,,,9.0,8.0,,0,0,0,0,0,,0,20,34,0.0,0
1,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,,,,,,0,0,0,0,0,,0,19,806,0.0,0
1,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,,,,,,1,0,0,0,0,2.0,1,119,230,0.0,0
1,,,,,,,,,,,,,,,,,1.0,,,,0,0,0,0,0,0,,,,,,1,0,0,0,0,2.0,1,23,38,0.0,0
1,,,,,,,,,,,,,,,,,1.0,,,,0,0,0,0,0,0,,,,,,1,0,0,0,0,56.0,1,60,25,0.0,0
1,0.0,,,,,,,,,,784.0,,,,,,,8.0,,1.0,0,0,0,0,0,1,,,9.0,14.0,,0,0,0,0,0,,0,26,52,0.0,0
0,0.0,,,,,,,,10.0,64.0,,,,,7.0,1.0,,,1.0,1.0,0,0,0,1,0,0,7.0,,,1.0,16.0,0,1,0,1,0,,0,296,370,0.5,0
0,0.0,,,,,,,,64.0,784.0,,,,,10.0,1.0,,,0.0,1.0,0,0,0,1,0,0,,,,2.0,784.0,0,1,0,1,0,,0,4567,11239,22.0,0
0,0.0,,,,,,,,64.0,64.0,,,,,7.0,1.0,,,0.0,1.0,0,0,0,1,0,0,,,,2.0,64.0,0,1,0,1,0,,0,494,1026,2.0,0
1,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,,,,,,0,0,0,0,0,,0,11,73,0.0,0
1,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,,,,,,0,0,0,0,0,,0,7,23,0.0,0
1,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,,,,,,0,0,0,0,0,,0,21,808,0.0,0
1,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,,,,,,1,0,0,0,0,2.0,1,135,263,0.0,0
