NodeName,OpType,AttributeName,AttributeValue
StreamingDataflowPartition_1_MVAU_hls_2,MVAU_hls,weightDataType,b'INT2'
StreamingDataflowPartition_1_MVAU_hls_2,MVAU_hls,accDataType,b'INT12'
StreamingDataflowPartition_1_MVAU_hls_2,MVAU_hls,resType,b'auto'
StreamingDataflowPartition_1_MVAU_hls_2,MVAU_hls,inFIFODepths,[338]
StreamingDataflowPartition_1_MVAU_hls_2,MVAU_hls,outFIFODepths,[2]
StreamingDataflowPartition_1_StreamingFIFO_rtl_8,StreamingFIFO_rtl,dataType,b'INT12'
StreamingDataflowPartition_1_StreamingFIFO_rtl_8,StreamingFIFO_rtl,depth,2
StreamingDataflowPartition_1_StreamingFIFO_rtl_8,StreamingFIFO_rtl,folded_shape,"[1, 6, 1]"
StreamingDataflowPartition_1_StreamingFIFO_rtl_8,StreamingFIFO_rtl,impl_style,b'rtl'
StreamingDataflowPartition_1_StreamingFIFO_rtl_8,StreamingFIFO_rtl,normal_shape,"[1, 6]"
StreamingDataflowPartition_1_StreamingFIFO_rtl_8,StreamingFIFO_rtl,ram_style,b'auto'
StreamingDataflowPartition_1_LabelSelect_hls_0,LabelSelect_hls,K,1
StreamingDataflowPartition_1_LabelSelect_hls_0,LabelSelect_hls,Labels,6
StreamingDataflowPartition_1_LabelSelect_hls_0,LabelSelect_hls,PE,1
StreamingDataflowPartition_1_LabelSelect_hls_0,LabelSelect_hls,inputDataType,b'INT12'
StreamingDataflowPartition_1_LabelSelect_hls_0,LabelSelect_hls,numInputVectors,[1]
StreamingDataflowPartition_1_LabelSelect_hls_0,LabelSelect_hls,outputDataType,b'UINT8'
StreamingDataflowPartition_1_LabelSelect_hls_0,LabelSelect_hls,inFIFODepths,[2]
StreamingDataflowPartition_1_LabelSelect_hls_0,LabelSelect_hls,outFIFODepths,[2]
StreamingDataflowPartition_1_StreamingFIFO_rtl_9,StreamingFIFO_rtl,dataType,b'UINT8'
StreamingDataflowPartition_1_StreamingFIFO_rtl_9,StreamingFIFO_rtl,depth,2
StreamingDataflowPartition_1_StreamingFIFO_rtl_9,StreamingFIFO_rtl,folded_shape,"[1, 1, 1]"
StreamingDataflowPartition_1_StreamingFIFO_rtl_9,StreamingFIFO_rtl,impl_style,b'rtl'
StreamingDataflowPartition_1_StreamingFIFO_rtl_9,StreamingFIFO_rtl,normal_shape,"[1, 1]"
StreamingDataflowPartition_1_StreamingFIFO_rtl_9,StreamingFIFO_rtl,ram_style,b'auto'
