Hardware config,Submodule Instance,ConvKernelDim,Dilation,K,Labels,PE,Padding,Stride,numInputVectors,Total LUT,Total FFs,BRAM (36k eq.),DSP Blocks
builds_t2w2_run26_40_modify_folding_naive_BOTH,StreamingFIFO_rtl_16,,,,,,,,,61,25,0.0,0
builds_t2w2_run26_40_modify_folding_naive_BOTH,StreamingFIFO_rtl_17,,,,,,,,,15,22,0.0,0
builds_t2w2_run26_40_modify_folding_naive_BOTH,StreamingFIFO_rtl_18,,,,,,,,,23,38,0.0,0
builds_t2w2_run26_40_modify_folding_naive_BOTH,StreamingFIFO_rtl_19,,,,,,,,,15,22,0.0,0
builds_t2w2_run26_40_modify_folding_naive_BOTH,StreamingFIFO_rtl_2,,,,,,,,,628,322,0.0,0
builds_t2w2_run26_40_modify_folding_naive_BOTH,StreamingFIFO_rtl_20,,,,,,,,,15,22,0.0,0
builds_t2w2_run26_40_modify_folding_naive_BOTH,StreamingFIFO_rtl_3,,,,,,,,,15,22,0.0,0
builds_t2w2_run26_40_modify_folding_naive_BOTH,StreamingFIFO_rtl_4,,,,,,,,,23,38,0.0,0
builds_t2w2_run26_40_modify_folding_naive_BOTH,StreamingFIFO_rtl_5,,,,,,,,,23,38,0.0,0
builds_t2w2_run26_40_modify_folding_naive_BOTH,StreamingFIFO_rtl_6,,,,,,,,,39,70,0.0,0
builds_t2w2_run26_40_modify_folding_naive_BOTH,StreamingFIFO_rtl_7,,,,,,,,,39,70,0.0,0
builds_t2w2_run26_40_modify_folding_naive_BOTH,StreamingFIFO_rtl_8,,,,,,,,,178,88,0.0,0
builds_t2w2_run26_40_modify_folding_naive_BOTH,StreamingFIFO_rtl_9,,,,,,,,,15,22,0.0,0
builds_t2w2_run12_40_modify_folding_BOTH,StreamingFIFO_rtl_0,,,,,,,,,319,37,0.0,0
builds_t2w2_run12_40_modify_folding_BOTH,StreamingFIFO_rtl_1,,,,,,,,,15,22,0.0,0
builds_t2w2_run12_40_modify_folding_BOTH,StreamingFIFO_rtl_10,,,,,,,,,55,24,0.0,0
builds_t2w2_run12_40_modify_folding_BOTH,StreamingFIFO_rtl_11,,,,,,,,,15,22,0.0,0
builds_t2w2_run12_40_modify_folding_BOTH,StreamingFIFO_rtl_12,,,,,,,,,15,22,0.0,0
builds_t2w2_run12_40_modify_folding_BOTH,StreamingFIFO_rtl_13,,,,,,,,,62,25,0.0,0
builds_t2w2_run12_40_modify_folding_BOTH,StreamingFIFO_rtl_14,,,,,,,,,55,24,0.0,0
builds_t2w2_run12_40_modify_folding_BOTH,StreamingFIFO_rtl_15,,,,,,,,,15,22,0.0,0
builds_t2w2_run12_40_modify_folding_BOTH,StreamingFIFO_rtl_16,,,,,,,,,120,29,0.0,0
builds_t2w2_run12_40_modify_folding_BOTH,StreamingFIFO_rtl_17,,,,,,,,,15,22,0.0,0
builds_t2w2_run12_40_modify_folding_BOTH,StreamingFIFO_rtl_18,,,,,,,,,15,22,0.0,0
builds_t2w2_run12_40_modify_folding_BOTH,StreamingFIFO_rtl_19,,,,,,,,,15,22,0.0,0
builds_t2w2_run12_40_modify_folding_BOTH,StreamingFIFO_rtl_2,,,,,,,,,170,37,0.0,0
