Repo,Instance,Total LUTs,Logic LUTs,LUTRAMs,SRLs,FFs,RAMB36,RAMB18,DSP Blocks
t2w2_500fps_u,StreamingDataflowPartition_1_StreamingFIFO_rtl_3,26,24,0,2,12,0,0,0
t2w2_500fps_u,StreamingDataflowPartition_1_StreamingFIFO_rtl_4,43,43,0,0,57,0,1,0
t2w2_500fps_u,StreamingDataflowPartition_1_StreamingFIFO_rtl_5,27,27,0,0,61,0,1,0
t2w2_500fps_u,StreamingDataflowPartition_1_StreamingFIFO_rtl_6,5,5,0,0,8,0,0,0
t2w2_500fps_u,StreamingDataflowPartition_1_StreamingFIFO_rtl_7,43,35,0,8,15,0,0,0
t2w2_500fps_u,StreamingDataflowPartition_1_StreamingFIFO_rtl_8,6,6,0,0,7,0,0,0
t2w2_500fps_u,StreamingDataflowPartition_1_StreamingFIFO_rtl_9,66,42,0,24,17,0,0,0
t2w2_5000fps_u,StreamingDataflowPartition_1,6618,6014,330,274,5490,4,8,0
t2w2_5000fps_u,StreamingDataflowPartition_1_ConvolutionInputGenerator_hls_0,931,751,180,0,520,0,0,0
t2w2_5000fps_u,StreamingDataflowPartition_1_ConvolutionInputGenerator_hls_1,795,705,90,0,461,0,0,0
t2w2_5000fps_u,StreamingDataflowPartition_1_ConvolutionInputGenerator_hls_2,708,678,30,0,456,0,0,0
t2w2_5000fps_u,StreamingDataflowPartition_1_ConvolutionInputGenerator_hls_3,716,686,30,0,455,0,0,0
t2w2_5000fps_u,StreamingDataflowPartition_1_FMPadding_hls_0,99,99,0,0,95,0,0,0
t2w2_5000fps_u,StreamingDataflowPartition_1_FMPadding_hls_1,87,87,0,0,71,0,0,0
t2w2_5000fps_u,StreamingDataflowPartition_1_FMPadding_hls_2,72,72,0,0,62,0,0,0
t2w2_5000fps_u,StreamingDataflowPartition_1_FMPadding_hls_3,71,71,0,0,60,0,0,0
t2w2_5000fps_u,StreamingDataflowPartition_1_LabelSelect_hls_0,54,54,0,0,54,0,0,0
t2w2_5000fps_u,StreamingDataflowPartition_1_MVAU_hls_0,689,689,0,0,1059,0,1,0
t2w2_5000fps_u,StreamingDataflowPartition_1_MVAU_hls_1,387,387,0,0,562,0,1,0
t2w2_5000fps_u,StreamingDataflowPartition_1_MVAU_hls_2,307,307,0,0,349,0,1,0
t2w2_5000fps_u,StreamingDataflowPartition_1_MVAU_hls_3,661,661,0,0,476,0,1,0
t2w2_5000fps_u,StreamingDataflowPartition_1_MVAU_hls_4,275,275,0,0,233,0,1,0
t2w2_5000fps_u,StreamingDataflowPartition_1_StreamingDataWidthConverter_rtl_0,12,12,0,0,86,0,0,0
t2w2_5000fps_u,StreamingDataflowPartition_1_StreamingDataWidthConverter_rtl_1,5,5,0,0,14,0,0,0
t2w2_5000fps_u,StreamingDataflowPartition_1_StreamingDataWidthConverter_rtl_2,4,4,0,0,9,0,0,0
t2w2_5000fps_u,StreamingDataflowPartition_1_StreamingFIFO_rtl_0,299,75,0,224,29,0,0,0
t2w2_5000fps_u,StreamingDataflowPartition_1_StreamingFIFO_rtl_1,30,30,0,0,69,2,0,0
